Date,Temperature,Humidity,Wind Speed,Weather Condition
2024-11-25 18:00:00,288.06,63,1.99,scattered clouds
2024-11-25 21:00:00,288.2,53,1.64,scattered clouds
2024-11-26 00:00:00,287.73,43,1.65,broken clouds
2024-11-26 03:00:00,289.17,31,1.44,clear sky
2024-11-26 06:00:00,294.88,20,1.74,clear sky
2024-11-26 09:00:00,296.82,16,2.41,clear sky
2024-11-26 12:00:00,291.69,23,2.0,clear sky
2024-11-26 15:00:00,289.3,26,2.34,clear sky
2024-11-26 18:00:00,288.45,26,2.04,clear sky
2024-11-26 21:00:00,287.63,26,1.8,clear sky
2024-11-27 00:00:00,286.82,26,1.91,clear sky
2024-11-27 03:00:00,288.46,25,1.47,clear sky
2024-11-27 06:00:00,294.57,16,1.7,clear sky
2024-11-27 09:00:00,296.4,13,2.33,clear sky
2024-11-27 12:00:00,291.13,19,1.75,clear sky
2024-11-27 15:00:00,288.82,22,2.21,clear sky
2024-11-27 18:00:00,288.01,24,2.01,clear sky
2024-11-27 21:00:00,287.23,25,1.8,clear sky
2024-11-28 00:00:00,286.49,25,2.18,clear sky
2024-11-28 03:00:00,288.39,22,0.75,clear sky
2024-11-28 06:00:00,294.19,14,1.69,clear sky
2024-11-28 09:00:00,296.41,11,2.04,clear sky
2024-11-28 12:00:00,290.81,17,1.54,clear sky
2024-11-28 15:00:00,288.4,20,2.21,few clouds
2024-11-28 18:00:00,287.8,21,2.19,scattered clouds
2024-11-28 21:00:00,288.03,21,1.97,overcast clouds
2024-11-29 00:00:00,286.76,22,1.82,overcast clouds
2024-11-29 03:00:00,288.24,20,1.4,clear sky
2024-11-29 06:00:00,294.57,13,1.53,clear sky
2024-11-29 09:00:00,295.99,12,2.67,scattered clouds
2024-11-29 12:00:00,290.67,18,1.95,broken clouds
2024-11-29 15:00:00,290.17,19,1.66,broken clouds
2024-11-29 18:00:00,289.53,23,1.7,overcast clouds
2024-11-29 21:00:00,289.22,23,1.47,overcast clouds
2024-11-30 00:00:00,288.15,36,1.9,overcast clouds
2024-11-30 03:00:00,290.3,39,1.94,overcast clouds
2024-11-30 06:00:00,295.06,28,2.07,overcast clouds
2024-11-30 09:00:00,297.05,27,2.21,broken clouds
2024-11-30 12:00:00,292.57,36,2.16,scattered clouds
2024-11-30 15:00:00,290.27,42,2.25,clear sky
